City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Cape Town,ZA,57.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
4,Mar Del Plata,AR,51.01,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
8,Klaksvik,FO,46.4,scattered clouds,62.23,-6.59,Airbnb rooms
10,Brae,GB,48.2,overcast clouds,60.4,-1.35,Busta House Hotel
15,Bluff,NZ,53.01,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
21,Olga,RU,52.3,broken clouds,43.74,135.29,Gostinitsa Rosmorport.
26,Donskoye,RU,50.0,clear sky,45.46,41.97,
27,Fortuna,US,50.0,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
31,Kruisfontein,ZA,53.01,clear sky,-34.0,24.73,Oyster Bay House Rental
35,Hermanus,ZA,48.99,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
39,Cidreira,BR,62.29,broken clouds,-30.18,-50.21,Hotel Castelo
40,Mataura,NZ,53.01,overcast clouds,-46.19,168.86,Ellie's Villa
42,Ushuaia,AR,50.0,broken clouds,-54.8,-68.3,Albatros Hotel
47,East London,ZA,57.2,broken clouds,-33.02,27.91,Tu Casa
52,Mafra,BR,48.99,overcast clouds,-26.11,-49.81,Hotel Emacite Flex
56,Sitka,US,46.4,moderate rain,57.05,-135.33,Westmark Sitka
59,Gazli,UZ,53.38,broken clouds,40.13,63.45,
60,Eureka,US,48.99,clear sky,40.8,-124.16,Eureka Inn Trademark By Wyndham
62,San Rafael,AR,60.17,clear sky,-34.62,-68.33,Hotel San Rafael
68,Sarkand,KZ,49.55,few clouds,45.41,79.92,Гостиница Сарканд
77,Chaman,PK,62.94,clear sky,30.92,66.45,Niamatt parda Center
78,Portland,US,48.99,scattered clouds,45.52,-122.68,The Bidwell Marriott Portland
81,Esqueda,MX,54.07,overcast clouds,30.72,-109.58,Hotel Esqueda
82,Lebu,CL,51.22,clear sky,-37.62,-73.65,Hostal Las Lilas
86,Kearney,US,51.8,clear sky,40.7,-99.08,Holiday Inn Kearney
93,San Patricio,US,55.0,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
94,Bredasdorp,ZA,50.0,few clouds,-34.53,20.04,Bredasdorp Country Manor
95,Huarmey,PE,62.46,overcast clouds,-10.07,-78.15,Hotel Miramar
99,Riyadh,SA,62.6,clear sky,24.69,46.72,InterContinental Riyadh
101,Bayir,TR,53.6,mist,37.27,28.22,Buban Otel
115,Indian Head,US,46.4,scattered clouds,38.6,-77.16,Red Carpet Inn
117,Castro,BR,51.62,overcast clouds,-24.79,-50.01,CHACARA BAILLY
120,Kaitangata,NZ,55.99,overcast clouds,-46.28,169.85,Kaitangata Motor Camp
122,Ascension,US,50.0,clear sky,30.22,-90.9,Highland Inn
