City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.92,42.8,87,75,6.93,broken clouds
1,Severo-Kurilsk,RU,50.68,156.12,40.42,91,100,38.27,moderate rain
2,Cape Town,ZA,-33.93,18.42,57.0,62,0,18.34,clear sky
3,Salvador,SV,13.83,-88.92,80.6,69,75,5.82,broken clouds
4,Mar Del Plata,AR,-38.0,-57.56,51.01,93,0,6.93,clear sky
5,Aksarka,RU,66.56,67.8,34.74,98,100,13.18,overcast clouds
6,Rikitea,PF,-23.12,-134.97,76.01,67,0,4.0,clear sky
7,Upernavik,GL,72.79,-56.15,19.38,96,96,2.68,overcast clouds
8,Klaksvik,FO,62.23,-6.59,46.4,87,27,17.22,scattered clouds
9,Yellowknife,CA,62.46,-114.35,12.99,92,75,8.05,broken clouds
10,Brae,GB,60.4,-1.35,48.2,76,99,13.87,overcast clouds
11,Butaritari,KI,3.07,172.79,82.45,76,39,19.55,scattered clouds
12,Samfya,ZM,-11.36,29.56,74.7,48,26,12.24,scattered clouds
13,New Norfolk,AU,-42.78,147.06,71.01,32,28,5.99,scattered clouds
14,Lorengau,PG,-2.02,147.27,83.91,72,95,1.1,light rain
15,Bluff,NZ,-46.6,168.33,53.01,85,100,15.99,overcast clouds
16,Cayenne,GF,4.93,-52.33,77.0,100,0,1.12,clear sky
17,Nikolskoye,RU,59.7,30.79,44.6,93,90,4.47,mist
18,Atuona,PF,-9.8,-139.03,77.77,76,63,11.61,light rain
19,Hilo,US,19.73,-155.09,78.8,78,90,5.82,light rain
20,Jamestown,US,42.1,-79.24,34.0,92,90,5.82,overcast clouds
21,Olga,RU,43.74,135.29,52.3,64,59,14.74,broken clouds
22,Qeshm,IR,26.96,56.27,75.2,64,0,4.7,clear sky
23,Port Blair,IN,11.67,92.75,83.82,75,82,10.56,broken clouds
24,Jiaozuo,CN,35.24,113.23,73.69,23,75,15.21,broken clouds
25,Thompson,CA,55.74,-97.86,17.6,78,90,9.17,light snow
26,Donskoye,RU,45.46,41.97,50.0,87,0,8.95,clear sky
27,Fortuna,US,40.6,-124.16,50.0,93,1,2.68,clear sky
28,Hithadhoo,MV,-0.6,73.08,83.91,73,100,10.04,overcast clouds
29,Naze,JP,28.37,129.48,78.8,54,20,23.04,few clouds
30,Kapaa,US,22.08,-159.32,78.8,65,75,4.7,broken clouds
31,Kruisfontein,ZA,-34.0,24.73,53.01,93,0,2.53,clear sky
32,Leh,IN,34.17,77.58,33.15,66,15,2.8,few clouds
33,Hambantota,LK,6.12,81.12,86.0,74,40,6.93,scattered clouds
34,Lodja,CD,-3.48,23.43,68.74,96,48,1.57,scattered clouds
35,Hermanus,ZA,-34.42,19.23,48.99,90,0,1.01,clear sky
36,Albany,US,42.6,-73.97,30.99,99,43,3.71,scattered clouds
37,Tasiilaq,GL,65.61,-37.64,32.0,97,100,20.8,light snow
38,Sistranda,NO,63.73,8.83,42.8,93,40,4.7,scattered clouds
39,Cidreira,BR,-30.18,-50.21,62.29,70,83,7.52,broken clouds
40,Mataura,NZ,-46.19,168.86,53.01,85,100,15.99,overcast clouds
41,Shelburne,CA,44.08,-80.2,26.01,84,1,5.17,clear sky
42,Ushuaia,AR,-54.8,-68.3,50.0,71,75,12.75,broken clouds
43,Richards Bay,ZA,-28.78,32.04,68.2,80,85,11.7,light rain
44,Hasaki,JP,35.73,140.83,66.99,45,20,13.87,few clouds
45,Ondangwa,NA,-17.92,15.95,75.2,60,74,11.41,light rain
46,Vaini,TO,-21.2,-175.2,73.4,83,40,10.29,scattered clouds
47,East London,ZA,-33.02,27.91,57.2,87,75,6.93,broken clouds
48,Busselton,AU,-33.65,115.33,68.16,65,100,12.24,overcast clouds
49,Canton,CN,23.12,113.25,78.8,54,20,2.24,few clouds
50,Harper,LR,4.38,-7.72,76.98,90,71,7.61,broken clouds
51,Ust-Kuyga,RU,70.02,135.6,2.93,92,100,3.33,light snow
52,Mafra,BR,-26.11,-49.81,48.99,95,88,4.0,overcast clouds
53,Sept-Iles,CA,50.2,-66.38,19.4,79,20,4.7,few clouds
54,Sukhodol,RU,53.9,51.21,41.0,82,100,9.31,moderate rain
55,Airai,TL,-8.93,125.41,79.2,46,0,4.61,clear sky
56,Sitka,US,57.05,-135.33,46.4,87,90,13.87,moderate rain
57,Sibiti,CG,-3.68,13.35,68.65,100,100,0.78,overcast clouds
58,Sokol,RU,59.46,40.12,40.53,97,100,3.6,overcast clouds
59,Gazli,UZ,40.13,63.45,53.38,37,66,10.04,broken clouds
60,Eureka,US,40.8,-124.16,48.99,93,1,2.35,clear sky
61,Ribeira Grande,PT,38.52,-28.7,68.92,93,100,20.22,overcast clouds
62,San Rafael,AR,-34.62,-68.33,60.17,41,0,4.63,clear sky
63,Hobart,AU,-42.88,147.33,71.01,55,40,16.11,scattered clouds
64,Akdepe,TM,42.06,59.38,41.0,48,0,9.17,clear sky
65,Ketchikan,US,55.34,-131.65,44.6,81,90,8.05,light rain
66,Yenagoa,NG,4.92,6.26,75.22,96,68,2.95,broken clouds
