City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Arlington,US,2020-10-30 18:16:08,32.74,-97.11,64.4,31,1,3.36
1,Upernavik,GL,2020-10-30 18:20:00,72.79,-56.15,21.15,96,99,4.14
2,Port Lincoln,AU,2020-10-30 18:20:01,-34.73,135.87,56.34,84,93,11.56
3,Jamestown,US,2020-10-30 18:16:31,42.1,-79.24,37.99,93,90,5.82
4,Hermanus,ZA,2020-10-30 18:20:01,-34.42,19.23,54.0,76,0,11.97
5,Ushuaia,AR,2020-10-30 18:20:01,-54.8,-68.3,50.0,71,75,24.16
6,Hobart,AU,2020-10-30 18:17:02,-42.88,147.33,42.8,93,40,3.36
7,Hasaki,JP,2020-10-30 18:20:02,35.73,140.83,44.6,81,0,4.7
8,Rikitea,PF,2020-10-30 18:20:03,-23.12,-134.97,75.49,69,62,8.01
9,Mahebourg,MU,2020-10-30 18:20:03,-20.41,57.7,69.8,52,40,13.87
10,San Patricio,US,2020-10-30 18:20:04,28.02,-97.52,69.01,45,20,11.41
11,Puerto Ayora,EC,2020-10-30 18:20:04,-0.74,-90.35,82.4,61,20,8.05
12,Waipawa,NZ,2020-10-30 18:20:05,-41.41,175.52,62.6,88,96,23.04
13,Busselton,AU,2020-10-30 18:20:05,-33.65,115.33,62.01,57,15,3.74
14,Esperance,AU,2020-10-30 18:20:06,-33.87,121.9,57.2,71,48,14.99
15,Mar Del Plata,AR,2020-10-30 18:19:11,-38.0,-57.56,60.8,59,0,10.29
16,Puri,IN,2020-10-30 18:20:06,19.8,85.85,73.4,83,20,7.16
17,Qaanaaq,GL,2020-10-30 18:20:07,77.48,-69.36,14.99,82,99,5.79
18,Kyshtovka,RU,2020-10-30 18:20:07,56.55,76.63,34.2,95,100,7.36
19,Norman Wells,CA,2020-10-30 18:20:07,65.28,-126.83,12.2,92,75,2.24
20,Punta Arenas,CL,2020-10-30 18:20:08,-53.15,-70.92,55.4,62,75,33.33
21,San Quintin,MX,2020-10-30 18:20:08,30.48,-115.95,74.01,35,82,4.74
22,Mataura,NZ,2020-10-30 18:20:08,-46.19,168.86,55.0,97,100,4.0
23,Chuy,UY,2020-10-30 18:20:08,-33.7,-53.46,61.39,67,34,12.73
24,Yellowknife,CA,2020-10-30 18:20:09,62.46,-114.35,19.4,85,75,11.41
25,Geraldton,AU,2020-10-30 18:20:09,-28.77,114.6,66.2,88,0,5.82
26,Tommot,RU,2020-10-30 18:20:09,58.96,126.29,8.24,93,98,0.34
27,Sudbury,CA,2020-10-30 18:17:38,46.49,-80.99,30.99,49,5,8.05
28,Carnarvon,AU,2020-10-30 18:20:10,-24.87,113.63,73.4,78,90,6.93
29,Tigzirt,DZ,2020-10-30 18:20:10,36.89,4.12,66.49,66,0,9.62
30,Sao Jose Da Coroa Grande,BR,2020-10-30 18:20:10,-8.9,-35.15,81.68,72,77,10.96
31,Shancheng,CN,2020-10-30 18:20:11,34.8,116.08,63.0,65,64,9.15
32,Komsomolskiy,UZ,2020-10-30 18:17:56,40.43,71.72,46.4,31,0,4.7
33,Castro,BR,2020-10-30 18:20:11,-24.79,-50.01,55.85,93,100,11.01
34,Vaini,TO,2020-10-30 18:20:11,-21.2,-175.2,71.6,68,75,8.05
35,Albany,US,2020-10-30 18:18:16,42.6,-73.97,35.01,87,100,6.78
36,Berlevag,NO,2020-10-30 18:20:12,70.86,29.09,32.0,87,75,23.04
37,Sao Joao Da Barra,BR,2020-10-30 18:20:12,-21.64,-41.05,80.6,83,75,18.34
38,Lebu,CL,2020-10-30 18:17:18,-37.62,-73.65,59.27,66,0,13.06
39,Barrow,US,2020-10-30 18:17:22,71.29,-156.79,19.4,92,90,13.87
